course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP,coursetitle,units,prereqs,description,overallrating,studentcomments,reviewcount,wouldtakeagain,difficultylevel
ME      153,HAWKES E W,Spring,2024,64,0,0,0,1,92,0,3.87173913,0,ME,0,0,21,0,0,0,2,2,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      155A,YEUNG E H,Spring,2024,11,0,0,0,1,32,0,3.73125,0,ME,0,0,16,1,0,0,1,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      155C,HESPANHA J P,Spring,2024,4,0,0,0,0,5,0,4,0,ME,0,0,1,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      166,DALY S H,Spring,2024,6,3,0,1,1,26,0,3.103846154,0,ME,0,0,2,3,2,1,6,0,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      169,MEZIC I,Spring,2024,3,0,0,0,0,7,0,3.457142857,0,ME,0,0,0,3,1,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      179D,BYL K A,Spring,2024,5,0,1,0,0,10,0,3.74,0,ME,0,0,2,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      180,BEYERLEIN I J,Spring,2024,6,0,0,0,0,11,0,3.945454545,0,ME,0,0,3,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      186B,OROPEZA D,Spring,2024,16,0,0,0,0,16,0,4,0,ME,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME   W  167,YANG H T,Spring,2024,2,1,1,0,0,11,0,3.309090909,0,ME,0,0,1,2,0,0,2,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MS        1C,RUHL J D,Spring,2024,8,0,0,0,0,16,0,4,0,MS,0,0,8,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MS        2AC,RUHL J D,Spring,2024,6,0,0,0,0,12,0,4,0,MS,0,0,6,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MS       22,RUHL J D,Spring,2024,28,0,0,0,0,28,0,4,0,MS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MS      133,RUHL J D,Spring,2024,3,0,0,0,0,9,0,4,0,MS,0,0,6,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MS      143,RUHL J D,Spring,2024,6,0,0,0,0,14,0,4,0,MS,0,0,8,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS       3C,MARCUS S L,Spring,2024,4,3,0,1,0,19,0,3.463157895,0,MUS,0,0,7,0,0,0,2,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS       4C,JURKOWSKI N W,Spring,2024,6,1,1,0,0,10,0,3.7,0,MUS,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS       4F,JURKOWSKI N W,Spring,2024,6,0,1,0,0,15,0,3.58,0,MUS,0,0,1,2,1,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS       5C,PAUL D C,Spring,2024,11,1,0,0,0,22,0,3.831818182,0,MUS,0,0,5,3,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS       8,RATTO D,Spring,2024,6,1,0,0,0,10,0,3.81,0,MUS,0,0,0,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS      10C,JURKOWSKI N W,Spring,2024,3,1,0,0,0,10,0,2.94,0,MUS,0,0,0,1,1,0,1,0,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS      11,JURKOWSKI N W,Spring,2024,49,22,2,1,4,108,0,3.510185185,0,MUS,0,0,21,2,1,0,4,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS      15,STUSSY C,Spring,2024,337,7,1,1,8,454,0,3.855726872,0,MUS,0,0,55,10,0,0,31,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS      16,NATHAN J S,Spring,2024,19,2,2,0,4,90,0,3.567777778,0,MUS,0,0,46,5,2,0,4,5,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS      17,MALVINNI D,Spring,2024,69,10,1,0,1,120,0,3.634166667,0,MUS,0,0,2,7,0,0,24,2,0,4,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS      20A,BRECHER B H,Spring,2024,14,0,0,0,0,14,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS      22O,GRIPPO J R,Spring,2024,4,1,0,0,0,5,0,3.8,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS      31C,KISLENKO N,Spring,2024,5,3,0,0,0,11,0,3.672727273,0,MUS,0,0,1,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     106C,THOLL A A,Spring,2024,7,2,0,0,0,14,0,3.792857143,0,MUS,0,0,2,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     109LC,ROADS C,Spring,2024,5,0,0,0,0,5,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     114,MALVINNI D,Spring,2024,92,4,0,0,2,115,0,3.847826087,0,MUS,0,0,4,4,0,0,9,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     119A,SPRIGGE M A,Spring,2024,24,3,1,0,1,50,0,3.506,0,MUS,0,0,2,2,2,1,12,0,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     120A,KUZIN M,Spring,2024,2,0,0,0,0,5,0,3.88,0,MUS,0,0,1,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     120T,WILSON B M,Spring,2024,8,0,0,0,0,8,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     122N,MARCUS S L,Spring,2024,5,0,0,0,0,5,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     122O,GRIPPO J R,Spring,2024,2,0,0,0,0,5,0,3.94,0,MUS,0,0,2,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     151,KISLENKO N,Spring,2024,7,0,0,0,0,9,0,4,0,MUS,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     152,KOENIG R J,Spring,2024,6,0,0,0,0,6,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     160P,BOURNE J E,Spring,2024,2,3,0,0,1,13,0,3.161538462,0,MUS,0,0,4,0,0,0,0,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     168T,HELLIER R,Spring,2024,4,1,0,0,0,16,0,3.88125,0,MUS,0,0,8,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     175K,COOLEY T,Spring,2024,6,0,1,0,0,18,0,3.705555556,0,MUS,0,0,6,2,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     175W,HELLIER R,Spring,2024,6,0,0,0,0,13,0,3.869230769,0,MUS,0,0,4,2,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS     184,PAUL D C,Spring,2024,3,0,0,0,0,8,0,3.8375,0,MUS,0,0,2,1,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS  CS   5,WATTS A A,Spring,2024,0,0,0,0,0,0,18,0,18,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS  CS 105MR,WATTS A A,Spring,2024,0,0,0,0,0,0,13,0,13,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS  CS 110FS,HOGAN L A,Spring,2024,0,0,0,0,0,0,11,0,11,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A    34,RADFORD A,Spring,2024,22,0,0,0,0,22,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A    36,WILSON B M,Spring,2024,12,0,0,0,0,12,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A    37,WILSON B M,Spring,2024,19,0,0,0,0,19,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A    40,MOERSCHEL J A,Spring,2024,5,0,0,0,0,5,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A    42,KUZIN M,Spring,2024,13,0,1,0,0,16,0,3.875,0,MUS,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A    43,FELBER J,Spring,2024,5,0,0,0,0,5,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A    47S,NATHAN J S,Spring,2024,0,0,0,0,0,15,0,4,0,MUS,0,0,15,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A    70J,NORTH R H,Spring,2024,5,0,0,0,0,9,0,4,0,MUS,0,0,4,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A    70V,BELL V R,Spring,2024,0,0,0,0,0,6,0,4,0,MUS,0,0,6,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A   134,RADFORD A,Spring,2024,19,0,0,0,0,19,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A   136,WILSON B M,Spring,2024,13,0,0,0,0,13,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A   137,WILSON B M,Spring,2024,11,0,0,0,0,11,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A   140,MOERSCHEL J A,Spring,2024,6,0,0,0,0,6,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A   142,KUZIN M,Spring,2024,8,1,0,0,0,16,0,3.9375,0,MUS,0,0,7,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A   144,MOERSCHEL J A,Spring,2024,8,0,0,0,0,9,0,3.966666667,0,MUS,0,0,0,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A   144,SABOURI P,Spring,2024,5,0,0,0,0,5,0,4,0,MUS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A   147S,NATHAN J S,Spring,2024,0,0,0,0,0,28,0,4,0,MUS,0,0,28,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MUS A   170I,MARCUS S L,Spring,2024,4,0,0,0,0,5,0,4,0,MUS,0,0,1,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL      1,ALLEN C,Spring,2024,21,36,33,3,12,228,0,2.685526316,0,PHIL,0,0,6,22,19,3,22,41,8,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL      3,CHARRY J D,Spring,2024,109,19,3,1,12,223,0,3.36367713,0,PHIL,0,0,0,28,5,0,27,15,3,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL      4,LAMB R C,Spring,2024,66,23,22,12,5,233,0,3.090128755,0,PHIL,0,0,1,30,27,0,40,6,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL     20C,HOLDEN T A,Spring,2024,10,27,3,0,3,107,0,3.056074766,0,PHIL,0,0,0,17,5,0,19,23,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    100A,ELIZONDO E S,Spring,2024,20,14,0,2,6,112,0,3.208035714,0,PHIL,0,0,3,22,2,0,31,11,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    100C,SALMON N U,Spring,2024,13,4,3,2,6,48,0,2.5375,0,PHIL,0,0,0,5,2,1,5,1,2,4,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    100E,FALVEY K T,Spring,2024,1,2,7,2,8,41,0,2.046341463,0,PHIL,0,0,0,3,9,0,5,2,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    124A,BARRETT T W,Spring,2024,10,6,1,1,0,39,0,3.397435897,0,PHIL,0,0,10,1,2,0,5,1,1,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    124F,ROSKIES A,Spring,2024,2,5,1,2,5,26,0,2.211538462,0,PHIL,0,0,0,0,3,0,4,2,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    134,ZIMMERMAN A Z,Spring,2024,11,5,0,0,1,34,0,3.420588235,0,PHIL,0,0,0,4,0,0,9,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    139,MOKRISKI D A,Spring,2024,10,7,0,0,2,35,0,3.022857143,0,PHIL,0,0,0,5,1,0,5,2,0,3,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    143,GREENE A R,Spring,2024,8,2,1,0,1,25,0,3.124,0,PHIL,0,0,2,2,2,0,2,3,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    149,FALVEY K T,Spring,2024,4,2,0,0,0,21,0,3.052380952,0,PHIL,0,0,0,1,3,2,6,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    150A,ELIZONDO E S,Spring,2024,1,2,4,0,4,23,0,2.356521739,0,PHIL,0,0,0,6,2,0,1,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    152,NEIDLINGER J,Spring,2024,13,11,0,1,0,37,0,3.462162162,0,PHIL,0,0,1,4,0,0,6,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    184,ROBERTSON T,Spring,2024,16,0,0,0,1,19,0,3.705263158,0,PHIL,0,0,0,0,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHIL    189,JARRETT G C,Spring,2024,14,10,3,1,1,38,0,3.205263158,0,PHIL,0,0,1,1,1,0,3,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      4,VIJAY K,Spring,2024,13,14,13,1,1,80,0,2.7975,0,PHYS,0,0,2,9,12,0,4,5,5,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      4L,POPESCU P F,Spring,2024,13,7,0,0,0,83,0,3.537349398,0,PHYS,0,0,1,32,0,0,30,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      5,SARICA U,Spring,2024,7,6,2,0,0,50,0,3.064,0,PHYS,0,0,1,13,3,3,6,8,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      5L,FYGENSON D K,Spring,2024,9,5,0,0,0,66,0,3.624242424,0,PHYS,0,0,6,10,0,0,35,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      6B,FREUND E G,Spring,2024,57,41,16,5,6,277,0,3.092779783,0,PHYS,0,0,13,35,11,3,43,33,14,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      6B,GELLER R M,Spring,2024,9,10,9,0,2,76,0,2.877631579,0,PHYS,0,0,3,11,5,0,10,9,8,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      6BL,MAZIN B A,Spring,2024,68,42,1,0,1,403,0,3.51662531,0,PHYS,0,0,5,113,2,0,158,13,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      6BL,POPESCU P F,Spring,2024,68,42,1,0,1,403,0,3.51662531,0,PHYS,0,0,5,113,2,0,158,13,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      6C,FREUND E G,Spring,2024,86,22,4,0,0,283,0,3.629328622,0,PHYS,0,0,66,36,8,2,47,11,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      6C,GELLER R M,Spring,2024,10,9,2,0,0,72,0,3.2375,0,PHYS,0,0,4,16,4,2,14,11,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      6CL,BERENSTEIN D,Spring,2024,2,6,0,0,0,24,0,3.35,0,PHYS,0,0,0,7,0,0,7,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      6CL,MAZIN B A,Spring,2024,64,40,0,0,0,331,0,3.529305136,0,PHYS,0,0,1,99,1,0,119,7,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      6CL,POPESCU P F,Spring,2024,66,46,0,0,0,355,0,3.517183099,0,PHYS,0,0,1,106,1,0,126,9,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      7A,POPESCU P F,Spring,2024,13,15,7,2,8,110,0,2.59,0,PHYS,0,0,10,6,8,5,9,11,13,3,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS      7B,KOUTROULAKIS,Spring,2024,61,36,21,4,8,330,0,3.028181818,0,PHYS,0,0,15,49,31,3,50,33,17,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS     13CL,JAYICH A M,Spring,2024,10,2,0,0,0,12,0,3.833333333,0,PHYS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS     20CL,LIPPINCOTT W,Spring,2024,23,4,4,0,3,85,0,3.441176471,0,PHYS,0,0,0,5,3,0,41,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS     22,CARATELLI D,Spring,2024,14,19,6,0,1,87,0,3.082758621,0,PHYS,0,0,5,11,5,2,10,12,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS     23,LUO X,Spring,2024,11,8,2,0,1,59,0,3.206779661,0,PHYS,0,0,5,10,2,1,10,6,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS     25,NELSON H,Spring,2024,23,13,5,0,0,92,0,3.338043478,0,PHYS,0,0,4,12,4,1,20,9,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS     29,HENNAWI J F,Spring,2024,8,3,1,1,2,39,0,3.4,0,PHYS,0,0,14,1,0,0,5,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    100A,CARLSON J M,Spring,2024,14,6,1,0,5,73,0,3.157534247,0,PHYS,0,0,10,9,7,0,16,2,2,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    104,STREICHAN S,Spring,2024,10,7,4,0,0,38,0,3.392105263,0,PHYS,0,0,2,4,0,0,9,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    106,MEZIC I,Spring,2024,2,0,0,0,0,7,0,4,0,PHYS,0,0,5,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    110A,NERELLA T,Spring,2024,6,6,0,0,2,37,0,2.848648649,0,PHYS,0,0,3,3,5,1,4,3,3,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    115B,YOUNG A F,Spring,2024,6,8,3,2,3,60,0,2.931666667,0,PHYS,0,0,7,7,5,0,9,7,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    115C,JIN C,Spring,2024,6,10,2,0,0,50,0,3.234,0,PHYS,0,0,3,10,4,0,10,4,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    119B,WELD D M,Spring,2024,7,6,1,0,0,42,0,3.19047619,0,PHYS,0,0,4,3,3,1,8,8,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    125,RICHMAN J D,Spring,2024,1,3,3,0,0,27,0,3.3,0,PHYS,0,0,7,4,1,0,5,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    127AL,EL-SOUSSI M H,Spring,2024,32,2,0,0,1,37,0,3.821621622,0,PHYS,0,0,0,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    128AL,MAZIN B A,Spring,2024,14,0,0,0,0,26,0,3.803846154,0,PHYS,0,0,1,1,1,0,9,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    129L,LIPMAN E A,Spring,2024,1,1,0,0,1,10,0,2.77,0,PHYS,0,0,0,2,1,0,2,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    131,BLAES O M,Spring,2024,3,3,1,1,1,34,0,2.858823529,0,PHYS,0,0,5,6,4,2,3,2,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    133,MARTIN C L,Spring,2024,15,2,0,0,0,28,0,3.707142857,0,PHYS,0,0,3,2,0,0,4,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    134L,MILLAR-BLANCH,Spring,2024,2,4,0,0,1,17,0,3.147058824,0,PHYS,0,0,1,2,0,0,4,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    139,SALEH O A,Spring,2024,2,2,1,0,1,13,0,3.338461538,0,PHYS,0,0,5,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    150,ZEE A,Spring,2024,3,5,2,1,0,17,0,3.088235294,0,PHYS,0,0,1,0,0,0,4,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS    180,GURUSWAMY S,Spring,2024,7,0,0,0,0,15,0,3.786666667,0,PHYS,0,0,2,1,0,0,4,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS CS   5,BIBILASHVILI,Spring,2024,0,0,0,0,0,0,30,0,30,PHYS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS CS  15C,JAYICH A M,Spring,2024,0,0,0,0,0,0,7,0,7,PHYS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS CS  33,BANTA I C,Spring,2024,0,0,0,0,0,0,21,0,21,PHYS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS CS  33,BIBILASHVILI,Spring,2024,0,0,0,0,0,0,21,0,21,PHYS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS CS  36,BANTA I C,Spring,2024,0,0,0,0,0,0,10,0,10,PHYS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
PHYS CS  36,GURUSWAMY S,Spring,2024,0,0,0,0,0,0,10,0,10,PHYS,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S    12,NALL C M,Spring,2024,7,18,1,3,4,90,0,2.904444444,0,POL,0,0,3,23,7,1,10,11,1,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S    15,STEIN E A,Spring,2024,12,32,13,1,0,139,0,3.010071942,0,POL,0,0,3,26,9,3,21,16,2,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S   106CD,STOLL H M,Spring,2024,5,11,3,0,0,50,0,2.99,0,POL,0,0,0,13,5,0,5,5,2,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S   106CR,STRATHMAN B A,Spring,2024,9,11,3,2,2,61,0,3.12295082,0,POL,0,0,1,8,1,0,16,8,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S   106EA,FREEMAN L A,Spring,2024,13,4,1,0,1,63,0,3.487301587,0,POL,0,0,3,10,0,0,25,6,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S   106EJ,MARTINEZ ALVA,Spring,2024,38,4,1,0,0,82,0,3.804878049,0,POL,0,0,19,3,2,0,15,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S   110CD,HOBBS-MORGAN,Spring,2024,1,10,1,0,1,29,0,3.055172414,0,POL,0,0,2,6,2,0,4,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S   126,STRATHMAN B A,Spring,2024,8,13,9,1,4,60,0,2.618333333,0,POL,0,0,0,6,8,2,3,5,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S   131,COGGINS B L,Spring,2024,13,16,4,2,7,57,0,2.749122807,0,POL,0,0,0,4,3,0,5,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
POL S   134,BRUHN K,Spring,2024,3,29,3,1,1,74,0,2.968918919,0,POL,0,0,0,13,5,0,10,7,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
